id,codice,descrizione,serie,annata,produttore,mancanti,doppi,rarità
Kinder_2024_052_VT151B,VT151B,Action figure bionda,Dragon Wings Action Figure,2024/2025,KS,6,5,1
Kinder_2024_052_VT151C,VT151C,Action figure mora,Dragon Wings Action Figure,2024/2025,KS,10,2,2
Kinder_2024_006_VU050D,VU050D,Trottola gialla,Crown Spinner - riedizione,2024/2025,KS,10,1,2
Kinder_2024_006_VU050E,VU050E,Trottola azzurra,Crown Spinner - riedizione,2024/2025,KS,11,1,2
Kinder_2025_007_VC025,VC025,Crab family,Animal Families - Crab and Monkey,2025/2026,KS,5,0,1
Kinder_2025_007_VC026,VC026,Monkey family,Animal Families - Crab and Monkey,2025/2026,KS,8,0,1
Kinder_2025_008_VC018,VC018,Duck family,Animal Families - Duck and Frog,2025/2026,KS,5,0,1
Kinder_2025_008_VC019,VC019,Frog family,Animal Families - Duck and Frog,2025/2026,KS,9,0,1
Kinder_2025_009_VC033,VC033,Elefant family,Animal Families - Elephant and Giraffe,2025/2026,KS,5,0,1
Kinder_2025_009_VC034,VC034,Giraffe family,Animal Families - Elephant and Giraffe,2025/2026,KS,5,1,1
Kinder_2025_010_VC020,VC020,Hedgehog family,Animal Families - Hedgehog and Squirrel,2025/2026,KS,7,0,1
Kinder_2025_010_VC021,VC021,Squirrel family,Animal Families - Hedgehog and Squirrel,2025/2026,KS,8,1,1
Kinder_2025_011_VC023,VC023,Moose family,Animal Families - Moose and Sheep,2025/2026,KS,8,0,1
Kinder_2025_011_VC024,VC024,Sheep family,Animal Families - Moose and Sheep,2025/2026,KS,7,0,1
Kinder_2025_012_VC016,VC016,Penguin family,Animal Families - Penguin and Seal,2025/2026,KS,4,0,1
Kinder_2025_012_VC017,VC017,Seal family,Animal Families - Penguin and Seal,2025/2026,KS,4,0,1
Kinder_2025_013_VC014,VC014,Rabbit family,Animal Families - Rabbit and Mouse,2025/2026,KS,5,0,1
Kinder_2025_013_VC015,VC015,Mouse family,Animal Families - Rabbit and Mouse,2025/2026,KS,6,0,1
Kinder_2025_014_VC258,VC258,Sea spinner,Animal Spinner,2025/2026,KS,5,0,1
Kinder_2025_014_VC258A,VC258A,Jungle spinner,Animal Spinner,2025/2026,KS,4,0,1
Kinder_2025_015_VQ047,VQ047,Mouse stamp,Animal Stamps,2025/2026,KS,7,0,1
Kinder_2025_015_VQ048,VQ048,Parrot stamp,Animal Stamps,2025/2026,KS,5,1,1
Kinder_2025_005_VC240,VC240,Elf green with snow scooter,Christmas 2025,2025/2026,KS,8,1,1
Kinder_2025_005_VD259A,VD259A,Santa with sleigh,Christmas 2025,2025/2026,KS,7,2,2
Kinder_2025_005_VD262A,VD262A,Reindeer on snowboard,Christmas 2025,2025/2026,KS,9,1,1
Kinder_2025_005_VD266B,VD266B,Santa with snowmobile,Christmas 2025,2025/2026,KS,7,2,1
Kinder_2025_005_VQ252A,VQ252A,Gingerbread man,Christmas 2025,2025/2026,KS,14,0,1
Kinder_2025_005_VQ254A,VQ254A,Santa with motor sled,Christmas 2025,2025/2026,KS,10,3,1
Kinder_2025_005_VQ255A,VQ255A,Owl,Christmas 2025,2025/2026,KS,8,1,1
Kinder_2025_005_VQ257A,VQ257A,Elf red with snowboard,Christmas 2025,2025/2026,KS,10,1,1
Kinder_2025_005_VQ259A,VQ259A,Polar bear,Christmas 2025,2025/2026,KS,9,1,1
Kinder_2025_005_VQ260A,VQ260A,Reindeer on skis,Christmas 2025,2025/2026,KS,10,1,1
Kinder_2025_005_VQ263A,VQ263A,Squirrel,Christmas 2025,2025/2026,KS,6,1,1
Kinder_2025_005_VT240A,VT240A,Snowman,Christmas 2025,2025/2026,KS,11,1,1
Kinder_2025_016_VC069,VC069,Crocodile,Come closer,2025/2026,KS,5,0,1
Kinder_2025_016_VC070,VC070,Elephant,Come closer,2025/2026,KS,6,0,1
Kinder_2025_017_VC081,VC081,Blue alien,Come in my Arms,2025/2026,KS,7,0,1
Kinder_2025_032_VC059,VC059,Koala,Stamp Animals,2025/2026,KS,3,1,1
Kinder_2025_032_VC060,VC060,Parrot,Stamp Animals,2025/2026,KS,6,0,1
Kinder_2025_017_VC081A,VC081A,Red alien,Come in my Arms,2025/2026,KS,7,0,1
Kinder_2025_018_VC088,VC088,Wrecking ball,Demolition Stars,2025/2026,KS,5,1,1
Kinder_2025_018_VC089,VC089,Concrete nibbler,Demolition Stars,2025/2026,KS,4,0,1
Kinder_2025_019_VC076,VC076,Crocodile,Do not squezze me,2025/2026,KS,4,0,1
Kinder_2025_019_VC077,VC077,Parrot on the beach,Do not squezze me,2025/2026,KS,4,0,1
Kinder_2025_020_VC002,VC002,Dodo yellow,Dodos Return,2025/2026,KS,4,0,1
Kinder_2025_020_VC002B,VC002B,Dodo light blue,Dodos Return,2025/2026,KS,4,0,1
Kinder_2025_021_VC008,VC008,Excavator,Excavators,2025/2026,KS,4,0,1
Kinder_2025_021_VC009,VC009,Demolition excavator,Excavators,2025/2026,KS,3,1,1
Kinder_2025_034_VC074,VC074,Duck,Sunlovers,2025/2026,KS,4,0,1
Kinder_2024_065_VQ356,VQ356,Iron Man,Marvel,2024/2025,KS,14,6,1
Kinder_2024_065_VQ357,VQ357,Capitan America (Sam),Marvel,2024/2025,KS,15,5,1
Kinder_2024_065_VQ363,VQ363,Spiderman,Marvel,2024/2025,KS,14,4,1
Kinder_2024_065_VQ364,VQ364,Antman,Marvel,2024/2025,KS,17,1,1
Kinder_2024_065_VQ365,VQ365,Black Panther,Marvel,2024/2025,KS,11,4,1
Kinder_2024_065_VQ366,VQ366,Doctor Strange,Marvel,2024/2025,KS,12,5,1
Kinder_2024_065_VQ368,VQ368,Hulk,Marvel,2024/2025,KS,14,8,1
Kinder_2024_065_VQ379,VQ379,Spider-woman (Spider Ghost),Marvel,2024/2025,KS,15,3,1
Kinder_2025_034_VC075,VC075,Frog,Sunlovers,2025/2026,KS,4,1,1
Kinder_2025_022_VT038A,VT038A,Gipsy,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT038B,VT038B,Rose,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_002_VC097,VC097,Stegosaurus,Jurassic Natoons,2025/2026,KS,7,12,1
Kinder_2025_002_VC098,VC098,Synocerotops,Jurassic Natoons,2025/2026,KS,9,5,1
Kinder_2025_002_VC099,VC099,Triceratops,Jurassic Natoons,2025/2026,KS,7,3,1
Kinder_2025_002_VC100,VC100,Ankylosaurus,Jurassic Natoons,2025/2026,KS,13,4,2
Kinder_2025_002_VC101,VC101,Pteranodon,Jurassic Natoons,2025/2026,KS,11,8,1
Kinder_2025_002_VC102,VC102,Spinosaurus,Jurassic Natoons,2025/2026,KS,9,7,1
Kinder_2025_002_VC103,VC103,Parasaurolophus,Jurassic Natoons,2025/2026,KS,6,7,1
Kinder_2025_003_VC104,VC104,Bracelet zephyr red,Unicorns,2025/2026,KS,6,2,1
Kinder_2025_003_VC104A,VC104A,Bracelet zephyr blue,Unicorns,2025/2026,KS,5,4,1
Kinder_2025_003_VC106,VC106,Silvia,Unicorns,2025/2026,KS,7,3,1
Kinder_2025_002_VC108,VC108,Diplodocus,Jurassic Natoons,2025/2026,KS,6,4,2
Kinder_2025_002_VC109,VC109,Velociraptor,Jurassic Natoons,2025/2026,KS,10,5,1
Kinder_2025_002_VC110,VC110,Brachiosaurus,Jurassic Natoons,2025/2026,KS,13,3,1
Kinder_2025_002_VC111,VC111,Dilophosaurus,Jurassic Natoons,2025/2026,KS,11,5,1
Kinder_2025_002_VC112,VC112,Gigonerosaurus,Jurassic Natoons,2025/2026,KS,11,2,1
Kinder_2025_002_VC113,VC113,Lambeosaurus,Jurassic Natoons,2025/2026,KS,13,6,1
Kinder_2025_002_VC114,VC114,Pachiccephalosaurus,Jurassic Natoons,2025/2026,KS,10,4,1
Kinder_2025_022_VT040B,VT040B,Flower,Fairies World,2025/2026,KS,8,0,1
Kinder_2025_022_VT041C,VT041C,Butterfly,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT048D,VT048D,Monika's House,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT048E,VT048E,Agnes's House,Fairies World,2025/2026,KS,9,1,1
Kinder_2025_022_VT049A,VT049A,Dangle Dragonfly purple,Fairies World,2025/2026,KS,8,0,1
Kinder_2025_022_VT064A,VT064A,Butterfly Box,Fairies World,2025/2026,KS,10,0,1
Kinder_2025_002_VC122,VC122,Tyrannosaurus Rex,Jurassic Natoons,2025/2026,KS,5,7,1
Kinder_2025_002_VC123,VC123,Plesiosaurus,Jurassic Natoons,2025/2026,KS,14,6,1
Kinder_2025_022_VT065A,VT065A,Star Box,Fairies World,2025/2026,KS,9,1,1
Kinder_2025_022_VT076B,VT076B,Mochi,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT076C,VT076C,Gaia,Fairies World,2025/2026,KS,9,0,1
Kinder_2024_061_VQ278,VQ278,Coniglio picnic,Pasqua 2025,2024/2025,KS,8,4,1
Kinder_2024_061_VQ279,VQ279,Pecora picnic,Pasqua 2025,2024/2025,KS,8,5,1
Kinder_2024_061_VQ281,VQ281,Gufo picnic,Pasqua 2025,2024/2025,KS,7,5,1
Kinder_2024_061_VQ282,VQ282,Volpe picnic,Pasqua 2025,2024/2025,KS,6,5,1
Kinder_2024_061_VQ283,VQ283,Trottola farfalla,Pasqua 2025,2024/2025,KS,18,1,3
Kinder_2024_061_VQ297,VQ297,Coccinella sparadischi,Pasqua 2025,2024/2025,KS,5,8,1
Kinder_2024_061_VQ298,VQ298,Coniglio sparadischi,Pasqua 2025,2024/2025,KS,6,7,1
Kinder_2024_061_VQ299,VQ299,Riccio sparadischi,Pasqua 2025,2024/2025,KS,5,7,1
Kinder_2024_061_VQ300,VQ300,Trottola uccello verde,Pasqua 2025,2024/2025,KS,5,9,1
Kinder_2024_061_VQ301,VQ301,Trottola uccello rosso,Pasqua 2025,2024/2025,KS,7,5,1
Kinder_2024_061_VT342,VT342,Trottola rana,Pasqua 2025,2024/2025,KS,7,3,1
Kinder_2024_061_VT347,VT347,Gallo sparadischi,Pasqua 2025,2024/2025,KS,5,7,1
Kinder_2025_022_VT096A,VT096A,Hoggy pink,Fairies World,2025/2026,KS,8,1,1
Kinder_2025_022_VT096B,VT096B,Hoggy purple,Fairies World,2025/2026,KS,10,0,1
Kinder_2025_022_VT097A,VT097A,Rascal light blue,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT097B,VT097B,Rascal pink,Fairies World,2025/2026,KS,10,0,1
Kinder_2025_022_VT209A,VT209A,Dangle Bird pink,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_042_VC338,VC338,Cakey Cat,Gabby's Dollhouse,2025/2026,KS,5,0,1
Kinder_2025_042_VC339,VC339,Gabby,Gabby's Dollhouse,2025/2026,KS,5,1,1
Kinder_2025_042_VC340,VC340,Kitty Fairy,Gabby's Dollhouse,2025/2026,KS,4,1,1
Kinder_2025_042_VC341,VC341,MerCat,Gabby's Dollhouse,2025/2026,KS,6,1,1
Kinder_2025_042_VC342,VC342,Pandy Paws,Gabby's Dollhouse,2025/2026,KS,4,1,1
Kinder_2025_042_VC343,VC343,Baby Box,Gabby's Dollhouse,2025/2026,KS,5,0,1
Kinder_2025_023_VC047,VC047,Koala,Hard Work to painting,2025/2026,KS,6,0,1
Kinder_2025_023_VC049,VC049,Mouse,Hard Work to painting,2025/2026,KS,6,0,1
Kinder_2025_024_VT102A,VT102A,Mouse X-ray,Hidden Pictures refresh,2025/2026,KS,10,0,2
Kinder_2025_025_VC061,VC061,Seal,I Like Fish,2025/2026,KS,5,0,1
Kinder_2025_025_VC062,VC062,Walrus,I Like Fish,2025/2026,KS,7,0,1
Kinder_2025_026_VQ071,VQ071,Penguin,Ice Games,2025/2026,KS,6,1,1
Kinder_2025_026_VQ072,VQ072,Polar bear,Ice Games,2025/2026,KS,4,1,1
Kinder_2025_027_VC054,VC054,Frog,Key Guard,2025/2026,KS,4,2,1
Kinder_2025_027_VC056,VC056,Monkey,Key Guard,2025/2026,KS,4,0,1
Kinder_2025_028_VC029,VC029,Green eyes,Look in my Eyes,2025/2026,KS,4,0,1
Kinder_2025_028_VC029A,VC029A,Purple eyes,Look in my Eyes,2025/2026,KS,6,0,1
Kinder_2025_029_VC094,VC094,Shovel excavator,On the Constrution site,2025/2026,KS,5,0,1
Kinder_2025_029_VC096,VC096,Truck,On the Constrution site,2025/2026,KS,3,0,1
Kinder_2025_030_VC041,VC041,Car with gear red,Racers,2025/2026,KS,6,2,1
Kinder_2025_030_VC041A,VC041A,Car with gear blue,Racers,2025/2026,KS,8,0,1
Kinder_2025_030_VC063,VC063,Quad,Racers,2025/2026,KS,8,0,1
Kinder_2025_030_VC064,VC064,Cross Car,Racers,2025/2026,KS,7,0,1
Kinder_2025_030_VC066,VC066,Toy Box blue,Racers,2025/2026,KS,5,1,1
Kinder_2025_030_VC068,VC068,Toy Box orange,Racers,2025/2026,KS,7,0,1
Kinder_2025_030_VC095,VC095,Stan the screwmaster,Racers,2025/2026,KS,4,1,1
Kinder_2025_030_VC120,VC120,Orange Speed,Racers,2025/2026,KS,5,0,1
Kinder_2025_030_VC121,VC121,Golden Winner,Racers,2025/2026,KS,4,0,1
Kinder_2025_030_VC140,VC140,Michael the mechanic,Racers,2025/2026,KS,3,1,1
Kinder_2025_030_VC174,VC174,Niki,Racers,2025/2026,KS,4,0,1
Kinder_2025_030_VC175,VC175,Blue Racebike,Racers,2025/2026,KS,5,0,1
Kinder_2025_030_VC176,VC176,Red Racebike,Racers,2025/2026,KS,5,0,1
Kinder_2025_030_VC177,VC177,Blue spinning car,Racers,2025/2026,KS,3,1,1
Kinder_2025_030_VC178,VC178,Purple spinning car,Racers,2025/2026,KS,5,1,1
Kinder_2025_030_VC181,VC181,Hot road red,Racers,2025/2026,KS,4,1,1
Kinder_2025_030_VC182,VC182,Hot road orange,Racers,2025/2026,KS,7,0,1
Kinder_2025_030_VC196,VC196,Michael,Racers,2025/2026,KS,4,1,1
Kinder_2025_030_VC248,VC248,Blue Monster,Racers,2025/2026,KS,5,1,1
Kinder_2025_030_VC249,VC249,Green Destroyer,Racers,2025/2026,KS,4,2,1
Kinder_2025_041_VC365,VC365,Obi Wan Kenobi,Star Wars,2025/2026,KS,9,7,1
Kinder_2025_041_VC366,VC366,Luke Skywalker,Star Wars,2025/2026,KS,2,9,1
Kinder_2025_041_VC367,VC367,Chewbacca,Star Wars,2025/2026,KS,6,9,2
Kinder_2025_041_VC368,VC368,Stormtrooper,Star Wars,2025/2026,KS,9,7,1
Kinder_2025_041_VC369,VC369,Darth Vader,Star Wars,2025/2026,KS,9,7,1
Kinder_2025_041_VC370,VC370,Yoda,Star Wars,2025/2026,KS,6,6,1
Kinder_2025_041_VC371,VC371,Rey,Star Wars,2025/2026,KS,4,8,1
Kinder_2025_041_VC372,VC372,Kylo Ren,Star Wars,2025/2026,KS,12,6,2
Kinder_2025_041_VC373,VC373,Boba Fett,Star Wars,2025/2026,KS,5,7,1
Kinder_2025_041_VC374,VC374,Leia Organa,Star Wars,2025/2026,KS,5,5,1
Kinder_2025_030_VQ069A,VQ069A,Green Mileseater,Racers,2025/2026,KS,9,0,1
Kinder_2025_030_VQ070A,VQ070A,Red Roadmaster,Racers,2025/2026,KS,6,1,1
Kinder_2025_022_VT023A,VT023A,Fairy Agnes,Fairies World,2025/2026,KS,9,0,2
Kinder_2025_022_VT023B,VT023B,Fairy Bea,Fairies World,2025/2026,KS,10,0,2
Kinder_2025_022_VT024A,VT024A,Fairy Monika,Fairies World,2025/2026,KS,9,0,2
Kinder_2025_022_VT024B,VT024B,Fairy Wanda,Fairies World,2025/2026,KS,8,1,2
Kinder_2025_022_VT025A,VT025A,Flowee Regina,Fairies World,2025/2026,KS,10,0,2
Kinder_2025_022_VT025B,VT025B,Flowee Jasmin,Fairies World,2025/2026,KS,9,1,2
Kinder_2025_022_VT026A,VT026A,Flowee Stella,Fairies World,2025/2026,KS,8,0,2
Kinder_2025_022_VT026B,VT026B,Flowee Ruby,Fairies World,2025/2026,KS,9,0,2
Kinder_2025_022_VT035A,VT035A,Crystal rescal bracialet green,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT035B,VT035B,Crystal rescal bracialet red,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT036A,VT036A,Crystal hopper bracialet blue,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT036B,VT036B,Crystal hopper bracialet pink,Fairies World,2025/2026,KS,8,0,1
Kinder_2025_030_VQ209A,VQ209A,Le Mans Blue Flash,Racers,2025/2026,KS,4,1,1
Kinder_2025_030_VQ210A,VQ210A,Le Mans Black Star,Racers,2025/2026,KS,5,0,1
Kinder_2025_031_VC045,VC045,Octopus,Shake more Hands,2025/2026,KS,8,0,1
Kinder_2025_031_VC046,VC046,Spider,Shake more Hands,2025/2026,KS,5,0,1
Kinder_2025_033_VQ203,VQ203,Octopus green and yellow,Sticky Animals,2025/2026,KS,8,0,1
Kinder_2025_033_VQ204,VQ204,Octopus blue and orange,Sticky Animals,2025/2026,KS,5,1,1
Kinder_2025_035_VC072,VC072,Blue dragon,Surreal,2025/2026,KS,5,1,1
Kinder_2025_035_VC079,VC079,Red dragon,Surreal,2025/2026,KS,5,0,1
Kinder_2025_036_VC116,VC116,Blue Car,Track Vehicle,2025/2026,KS,4,1,1
Kinder_2025_036_VC179,VC179,Yellow Car,Track Vehicle,2025/2026,KS,5,1,1
Kinder_2025_003_VC005,VC005,Magnolia,Unicorns,2025/2026,KS,8,1,1
Kinder_2025_003_VC005A,VC005A,Petunia,Unicorns,2025/2026,KS,5,1,2
Kinder_2025_003_VC005B,VC005B,Vanilla,Unicorns,2025/2026,KS,6,2,2
Kinder_2025_003_VC005C,VC005C,Clementine,Unicorns,2025/2026,KS,5,3,2
Kinder_2025_003_VC080,VC080,Earring Sleepy,Unicorns,2025/2026,KS,9,3,1
Kinder_2025_003_VC080B,VC080B,Earring Dream,Unicorns,2025/2026,KS,6,3,1
Kinder_2025_003_VC082,VC082,Ring pink,Unicorns,2025/2026,KS,5,6,1
Kinder_2025_003_VC118,VC118,Maya,Unicorns,2025/2026,KS,5,6,1
Kinder_2025_003_VC119,VC119,Bracialet/pin sparkle,Unicorns,2025/2026,KS,5,5,1
Kinder_2025_003_VC119A,VC119A,Bracialet/pin cloud,Unicorns,2025/2026,KS,4,3,1
Kinder_2025_003_VC124,VC124,Ring purple,Unicorns,2025/2026,KS,4,3,1
Kinder_2025_003_VC125,VC125,Justine,Unicorns,2025/2026,KS,12,2,1
Kinder_2025_003_VC126,VC126,Camille,Unicorns,2025/2026,KS,10,4,1
Kinder_2025_003_VC137,VC137,Lana,Unicorns,2025/2026,KS,6,7,1
Kinder_2025_003_VC157,VC157,Unicorn Earring pink,Unicorns,2025/2026,KS,6,0,1
Kinder_2025_003_VC157A,VC157A,Unicorn Earring purple,Unicorns,2025/2026,KS,4,3,1
Kinder_2025_003_VC158,VC158,Flower-Ring purple,Unicorns,2025/2026,KS,4,4,1
Kinder_2025_003_VC159,VC159,Flower-Ring lightblue,Unicorns,2025/2026,KS,5,5,1
Kinder_2025_003_VC164,VC164,Hair Clip yellow Star,Unicorns,2025/2026,KS,4,6,1
Kinder_2025_003_VC165,VC165,Hair Clip purple Heart,Unicorns,2025/2026,KS,4,6,1
Kinder_2025_003_VC193,VC193,Poppy,Unicorns,2025/2026,KS,7,4,1
Kinder_2025_003_VC193A,VC193A,Bubbles,Unicorns,2025/2026,KS,10,3,2
Kinder_2025_003_VC194,VC194,Aurelia,Unicorns,2025/2026,KS,11,1,2
Kinder_2025_003_VC194A,VC194A,Estelle,Unicorns,2025/2026,KS,7,2,2
Kinder_2025_003_VC195,VC195,Mirabelle,Unicorns,2025/2026,KS,4,4,1
Kinder_2025_003_VC195A,VC195A,Ambrosia,Unicorns,2025/2026,KS,7,4,1
Kinder_2025_003_VC199,VC199,Lauren,Unicorns,2025/2026,KS,5,3,1
Kinder_2025_003_VC200,VC200,Lisa,Unicorns,2025/2026,KS,8,3,1
Kinder_2025_003_VC201,VC201,Matilde,Unicorns,2025/2026,KS,4,2,1
Kinder_2025_003_VC406,VC406,Color changing bracialet white to blue,Unicorns,2025/2026,KS,17,1,3
Kinder_2025_003_VC406A,VC406A,Color changing bracialet white to pink,Unicorns,2025/2026,KS,21,0,3
Kinder_2025_003_VQ029,VQ029,Miranda ring,Unicorns,2025/2026,KS,5,5,1
Kinder_2025_003_VQ029A,VQ029A,Simone ring,Unicorns,2025/2026,KS,10,5,1
Kinder_2025_037_VC038,VC038,Transporter 1,Transporters,2025/2026,KS,4,0,1
Kinder_2025_022_VT094A,VT094A,Crown beaver purple,Fairies World,2025/2026,KS,8,1,1
Kinder_2025_022_VT094B,VT094B,Crown beaver orange,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT095A,VT095A,Crown rabbit green,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_022_VT095B,VT095B,Crown rabbit red,Fairies World,2025/2026,KS,9,0,1
Kinder_2025_037_VC087,VC087,Transporter 2,Transporters,2025/2026,KS,4,0,1
Kinder_2025_038_VC224,VC224,Yellow Flower,Turn me up,2025/2026,KS,5,1,1
Kinder_2025_038_VC224A,VC224A,Blue Flower,Turn me up,2025/2026,KS,7,0,1
Kinder_2025_039_VC035,VC035,Orca,Underwater Games,2025/2026,KS,5,0,1
Kinder_2025_039_VC035A,VC035A,Shark,Underwater Games,2025/2026,KS,4,0,1
Kinder_2025_040_VC050,VC050,Crocodile,Zipper Friends,2025/2026,KS,4,1,1
Kinder_2025_040_VC051,VC051,Beaver,Zipper Friends,2025/2026,KS,4,2,1
Kinder_2025_043_VT428,VT428,Elsa - Frozen 3 edition,Frozen 4,2025/2026,KS,5,0,1
Kinder_2025_043_VT429,VT429,Anna - Frozen 3 edition,Frozen 4,2025/2026,KS,4,0,1
Kinder_2025_043_VU335,VU335,Anna - Frozen II edition,Frozen 4,2025/2026,KS,4,0,1
Kinder_2025_043_VU336,VU336,Olaf,Frozen 4,2025/2026,KS,4,0,1
Kinder_2025_043_VU337,VU337,Elsa - Frozen II edition,Frozen 4,2025/2026,KS,4,0,1
Kinder_2025_043_VU338,VU338,Bruni,Frozen 4,2025/2026,KS,4,0,1
Kinder_2025_043_VU339,VU339,Kristoff,Frozen 4,2025/2026,KS,4,0,1
Kinder_2025_043_VU340,VU340,The Nokk,Frozen 4,2025/2026,KS,4,0,1
